concave points_worst,perimeter_worst,texture_worst,concavity_worst,symmetry_worst
0.2654,184.6,17.33,0.7119,0.4601
0.186,158.8,23.41,0.2416,0.275
0.243,152.5,25.53,0.4504,0.3613
0.2575,98.87,26.5,0.6869,0.6638
0.1625,152.2,16.67,0.4,0.2364
0.1741,103.4,23.75,0.5355,0.3985
0.1932,153.2,27.66,0.3784,0.3063
0.1556,110.6,28.14,0.2678,0.3196
0.206,106.2,30.73,0.539,0.4378
0.221,97.65,40.68,1.105,0.4366
0.09975,123.8,33.88,0.1459,0.2948
0.181,136.5,27.28,0.3965,0.3792
0.1767,151.7,29.94,0.3639,0.3176
0.1119,112,27.66,0.2322,0.2809
0.2208,108.8,32.01,0.6943,0.3596
0.1712,124.1,37.13,0.7026,0.4218
0.1609,123.4,30.88,0.2914,0.3029
0.2073,136.8,31.48,0.4784,0.3706
0.2388,186.8,30.88,0.5372,0.2768
0.1288,99.7,19.26,0.239,0.2977
0.07283,96.09,20.49,0.189,0.3184
0.06227,65.13,15.66,0.08867,0.245
0.2393,125.1,19.08,0.6305,0.4667
0.2009,188,35.59,0.3155,0.2822
0.2095,177,31.56,0.4695,0.3613
0.255,152.4,21.4,0.3853,0.4066
0.2701,122.4,33.21,0.5539,0.4264
0.149,139.9,27.26,0.3446,0.2341
0.2024,149.3,36.71,0.6335,0.4027
0.1456,134.9,19.52,0.2489,0.2756
0.1848,160.5,34.01,0.6133,0.3444
0.1546,119.4,28.12,0.6956,0.4761
0.1847,136.1,32.09,0.5588,0.353
0.1785,161.4,30.9,0.6091,0.3672
0.1864,132.7,27.26,0.5274,0.427
0.1813,133.5,29.02,0.5409,0.4863
0.1447,116.2,30.36,0.5186,0.3591
0.05013,84.46,22.81,0.04833,0.1987
0.02899,95.54,25.2,0.02398,0.1565
0.2258,107.3,26.02,0.503,0.2807
0.1112,102.5,30.25,0.2085,0.2994
0.1424,87.22,35.34,0.4023,0.2964
0.2493,177.4,33.17,0.7242,0.467
0.1492,113.1,28,0.3664,0.3739
0.1607,105.5,29.89,0.3728,0.3693
0.2378,150.6,21.32,0.7345,0.3799
0.02564,57.26,21.96,0.0688,0.3105
0.2088,102.8,27.95,0.5006,0.39
0.06548,89.88,20.7,0.305,0.2747
0.1282,99,31.82,0.2282,0.2871
0.03715,82.98,25.72,0.05523,0.2433
0.08586,96.08,23.19,0.105,0.2346
0.06296,83.67,21.33,0.09203,0.2785
0.1325,135.1,24.13,0.2623,0.3021
0.153,117.7,31.69,0.2712,0.2675
0.06316,81.81,22.47,0.09076,0.3306
0.2091,170.1,28.14,0.3879,0.3537
0.1834,115.7,30.7,0.3587,0.3698
0.01111,90.24,22.25,0.001845,0.2439
0.04419,59.9,15.4,0.1168,0.322
0.02579,69.86,17.45,0.02168,0.3557
0.02778,62.06,27.04,0.09001,0.2972
0.1785,119.1,29.51,0.6922,0.2844
0.05087,65.59,19.23,0.1397,0.3282
0.1716,111.8,33.47,0.4024,0.3383
0.1614,114.6,33.39,0.3024,0.3321
0.06517,67.03,31.56,0.09412,0.2878
0.06961,78,23.84,0.1444,0.24
0.175,65.5,22.65,1.252,0.4228
0.05882,85.67,19.76,0.1039,0.2383
0.1789,165.9,26.58,0.2687,0.2551
0.04786,62.56,15.67,0.1434,0.2254
0.1899,151.6,33.82,0.6566,0.3313
0.1383,110.3,20.86,0.2779,0.2589
0.0866,89.71,23.21,0.1703,0.2618
0.152,128.8,24.56,0.2829,0.265
0.07407,91.36,12.49,0.08539,0.271
0.2102,150.1,18.91,0.3786,0.3751
0.2508,170.3,31.72,0.7681,0.544
0.07926,91.88,24.82,0.1731,0.2779
0.06127,84.53,32.16,0.1755,0.2762
0.1708,96.66,23.19,0.4858,0.3527
0.2867,211.7,33.62,0.6476,0.2355
0.1841,141.3,32.72,0.2432,0.2311
0.07632,87.78,24.9,0.2267,0.3379
0.1642,152.2,27.68,0.3157,0.3695
0.1225,108.4,29.25,0.3349,0.302
0.1956,152.9,30.41,0.5755,0.3956
0.1205,91.46,30.5,0.2434,0.2972
0.1397,109.4,18.24,0.2604,0.3151
0.06946,102.9,29.11,0.09189,0.2522
0.1476,107.5,25.84,0.2846,0.2556
0.1001,104.5,22.35,0.135,0.2027
0.07911,97.59,25.94,0.1381,0.2678
0.2115,123.5,24.23,0.5203,0.2834
0.1573,156.1,31.59,0.4098,0.3689
0.05882,82.14,20.92,0.0498,0.2227
0.02381,68.81,26.29,0.02049,0.1934
0.08449,82.96,17.16,0.1922,0.2772
0.1565,109.5,30.86,0.3194,0.2718
0.1184,108.6,35.27,0.3169,0.2651
0,50.41,19.54,0,0.2932
0.07431,84.58,32.84,0.1145,0.2694
0.09749,72.22,26.83,0.2644,0.2622
0.03203,74.22,23.31,0.07987,0.2826
0.1986,106.4,22.4,0.6376,0.3147
0.1218,85.51,29.26,0.2873,0.2806
0.08442,85.56,27.49,0.1937,0.2983
0.291,206.8,28.01,0.9608,0.4055
0.08278,83.99,29.15,0.312,0.2829
0.05334,71.68,21.47,0.13,0.2533
0.1105,89,25.47,0.2216,0.2226
0.1505,107,23.73,0.6783,0.2398
0.06136,72.62,22.75,0.1295,0.2383
0.105,64.48,19.62,0.2456,0.2926
0.07247,87.54,26.15,0.1503,0.2438
0.03846,63.34,17.07,0.1544,0.1652
0.2027,127.1,27.37,0.4704,0.3585
0.2034,130.3,30.5,0.7356,0.3274
0.1185,129.2,27.83,0.2249,0.4882
0.08958,83.74,15.97,0.2102,0.3016
0.1674,145.4,24.9,0.3272,0.2894
0.2248,180.9,23.99,0.5803,0.3222
0.1221,102.8,15.98,0.256,0.2889
0.08978,91.99,22.75,0.3308,0.2048
0.05104,100.3,23.58,0.08115,0.2364
0.1329,113.2,35.64,0.3796,0.347
0.1218,148.2,25.73,0.3207,0.2841
0.1423,105.9,18.33,0.196,0.259
0.1732,148.7,33.58,0.5673,0.3305
0.08187,91.38,17.81,0.09915,0.3469
0.1514,124.9,26,0.3791,0.2837
0.1312,129.7,31.68,0.2992,0.348
0.1374,114.3,19.25,0.1709,0.2723
0.1379,145.6,31.39,0.3965,0.3109
0.09331,92.04,33.37,0.2177,0.2829
0.06968,86.16,25.48,0.1046,0.1712
0.08476,79.93,22.02,0.1399,0.2676
0.1667,121.4,21.43,0.3355,0.3414
0.08611,76.53,15.77,0.08669,0.2102
0,66.53,14.1,0,0.3105
0.1216,129,25.27,0.2802,0.2792
0.06402,82.66,26.76,0.07708,0.2584
0.1012,97.17,21.82,0.209,0.3549
0.03413,77.79,20.72,0.09755,0.23
0.06042,86.26,16.51,0.0942,0.2727
0.1865,91.93,26.38,0.4504,0.5774
0.08405,107.1,25.47,0.25,0.2852
0.1599,108.6,19.85,0.3103,0.2691
0.06019,97.19,22.46,0.1564,0.235
0.06296,90.82,24.11,0.08112,0.3196
0.07879,58.08,29.72,0.5381,0.3322
0.1571,71.04,19.49,0.8216,0.3108
0.05506,76.25,16.3,0.07116,0.2859
0.09722,97.67,20.5,0.3009,0.3849
0.08211,86.6,25.22,0.1943,0.3113
0.1515,132.9,25.11,0.3583,0.2463
0.08436,120.3,28.07,0.1882,0.2527
0.07025,84.08,18.41,0.08636,0.2514
0.03953,78.07,18.2,0.01854,0.2738
0.07909,88.91,26.21,0.1956,0.3168
0.1777,146.6,17.81,0.2264,0.2443
0.2247,174.9,26.39,0.681,0.3643
0.08194,87.36,28.68,0.1688,0.2268
0.2346,184.2,28.22,0.3948,0.3589
0.05754,102.3,25.82,0.0775,0.2646
0.04603,73.66,12.02,0.1047,0.209
0.1474,130.7,26.3,0.2318,0.281
0.1721,155.3,32.33,0.489,0.216
0.08485,104.6,23,0.06648,0.2404
0.09391,86.97,15.64,0.1242,0.2827
0.116,116.6,29.87,0.2644,0.2884
0.1827,125,17.04,0.583,0.3216
0.04306,72.01,16.82,0.03938,0.1902
0,73.2,19.2,0,0.271
0,58.36,17.04,0,0.2592
0.0991,73.07,24.39,0.3486,0.2614
0.2035,123.5,28.45,0.5862,0.3054
0.009259,88.18,29.02,0.007977,0.2295
0.0399,86.7,16.15,0.02758,0.1783
0.2688,220.8,32.85,0.534,0.2856
0.2903,176.5,33.48,0.678,0.4098
0.1541,129.3,32.82,0.2902,0.3437
0.06296,79.12,17.7,0.1648,0.1811
0.1226,113.8,28.03,0.363,0.3175
0.01042,75.39,21.18,0.00692,0.2933
0.1571,139.2,26.36,0.3538,0.3206
0.1099,84.42,21.39,0.1521,0.2572
0.04306,79.57,26.48,0.08803,0.32
0.04815,86.65,19.59,0.1423,0.2482
0.1772,106.4,37.18,0.8488,0.5166
0.04773,89.04,23.5,0.05186,0.2179
0,62.25,20.83,0,0.1909
0.1459,101.7,39.34,0.4425,0.3215
0.1727,118.6,27.78,0.4589,0.3
0.08235,90.81,22,0.1764,0.3024
0.1673,111.6,34.01,0.3809,0.308
0.09181,129.1,24.7,0.2535,0.2369
0.1708,166.4,32.06,0.3865,0.3193
0.1838,117.9,30.12,0.4967,0.4753
0.108,92.15,28.36,0.1377,0.2668
0.1939,139.5,25.84,0.3508,0.2928
0.2733,177,32.68,0.7892,0.3198
